slno,vehicle_type,brand ,model       ,engine_type,make_year,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,cost
12  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10573  ,1         ,1         ,0                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2583
13  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10992  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2633
14  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10376  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2643
15  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,11009  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2532
16  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10048  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2489
17  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10623  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2578
18  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10832  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2631
19  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,11034  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2639
20  ,car         ,honda ,jazz        ,petrol     ,2017     ,10000        ,10228  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,2703
21  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20679  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3336
22  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20797  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3418
23  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,19646  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3276
24  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20566  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3134
25  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20478  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3489
26  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20787  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3578
27  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,19899  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3248
28  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20575  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3682
29  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,21587  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3418
30  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20689  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3276
31  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20464  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3134
32  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,21567  ,1         ,1         ,1                ,1                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3583
33  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,22769  ,1         ,1         ,1                ,1                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3365
34  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20312  ,1         ,1         ,1                ,1                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3478
35  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20453  ,1         ,1         ,1                ,1                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3336
36  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20564  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3418
37  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20644  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3276
38  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20768  ,1         ,1         ,1                ,1                     ,1                            ,1               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3134
39  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,20543  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3215
40  ,car         ,honda ,jazz        ,petrol     ,2017     ,20000        ,21056  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,8714
41  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30239  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3143
42  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30231  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3273
43  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30783  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3489
44  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30463  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3323
45  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30463  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3422
46  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,29625  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3232
47  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,31833  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3136
48  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30172  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3193
49  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30132  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3344
50  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,29234  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3474
51  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30541  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3750
52  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,29689  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3523
53  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30545  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3263
54  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30432  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3283
55  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30679  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3384
56  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30765  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3680
57  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30758  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,4342
58  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,31234  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,5342
59  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30272  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,4434
60  ,car         ,honda ,jazz        ,petrol     ,2017     ,30000        ,30137  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,4343
61  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40231  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4422
62  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40532  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4372
63  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,39163  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4457
64  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40328  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4322
65  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40368  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4273
66  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,39175  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4282
67  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40613  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4274
68  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40293  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4272
69  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40733  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4548
70  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,41382  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4482
71  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40289  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4372
72  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,39236  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4273
73  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40722  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4373
74  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,42232  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4874
75  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40724  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4836
76  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40283  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4723
77  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,39328  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,4792
78  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,41238  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,5292
79  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40278  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,5123
80  ,car         ,honda ,jazz        ,petrol     ,2017     ,40000        ,40243  ,1         ,1         ,1                ,1                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,0     ,1      ,5163
81  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50234  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3312
82  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50722  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3464
83  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50236  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3253
84  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50673  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3323
85  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50892  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3422
86  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,51427  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3232
87  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50237  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3136
88  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,49622  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3193
89  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,49263  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,0     ,0      ,3344
90  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50268  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,1         ,0     ,1      ,3474
91  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,51452  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,1          ,0                   ,0                 ,1         ,0     ,1      ,3364
92  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50823  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,1          ,0                   ,1                 ,1         ,0     ,1      ,3231
93  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50179  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,1          ,0                   ,1                 ,1         ,0     ,1      ,3532
94  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,51102  ,1         ,1         ,1                ,0                     ,0                            ,1               ,0          ,0         ,0          ,0                   ,0                 ,1         ,0     ,0      ,3689
95  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,51324  ,1         ,1         ,1                ,0                     ,0                            ,1               ,0          ,0         ,0          ,0                   ,0                 ,1         ,0     ,0      ,3730
96  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50822  ,1         ,1         ,1                ,0                     ,0                            ,1               ,0          ,0         ,0          ,0                   ,1                 ,1         ,0     ,0      ,3647
97  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50264  ,1         ,1         ,1                ,0                     ,1                            ,1               ,0          ,0         ,1          ,0                   ,0                 ,1         ,0     ,0      ,4123
98  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50012  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,1          ,0                   ,0                 ,1         ,0     ,0      ,4202
99  ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50272  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,1                 ,1         ,0     ,0      ,4822
100 ,car         ,honda ,jazz        ,petrol     ,2017     ,50000        ,50327  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,1         ,0     ,0      ,4037
101 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60272  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6135
102 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60347  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6234
103 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60322  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6163
104 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60347  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6237
105 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60839  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6088
106 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60321  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6143
107 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,61733  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6228
108 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60977  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6292
109 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60632  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,1         ,0     ,0      ,6183
110 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60872  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6137
111 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60134  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6099
112 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60427  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6132
113 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60349  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6487
114 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60374  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6579
115 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60694  ,1         ,1         ,1                ,1                     ,0                            ,1               ,1          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6693
116 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,61379  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6469
117 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,59262  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6367
118 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60347  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6397
119 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,61372  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6495
120 ,car         ,honda ,jazz        ,petrol     ,2017     ,60000        ,60437  ,1         ,1         ,1                ,1                     ,0                            ,1               ,0          ,0         ,1          ,0                   ,1                 ,0         ,0     ,0      ,6402
121 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70262  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4633
122 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70373  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4643
123 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70764  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4532
124 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70384  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,1                 ,0         ,1     ,0      ,4489
125 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70976  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,1                 ,0         ,1     ,0      ,4578
126 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,71253  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,1                 ,0         ,1     ,0      ,4631
127 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70311  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4639
128 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70789  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4703
129 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70098  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4539
130 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,69432  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4597
131 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70894  ,1         ,1         ,1                ,0                     ,1                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4583
132 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70753  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,1         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4633
133 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70756  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,0          ,0                   ,0                 ,0         ,1     ,0      ,4643
134 ,car         ,honda ,jazz        ,petrol     ,2017     ,70000        ,70890  ,1         ,1         ,1                ,0                     ,0                            ,0               ,0          ,0         ,1          ,0                   ,0                 ,0         ,1     ,0      ,4532
